
--- onuAuthenSN ---
  gpon0/0/4/2: 48:57:54:43:09:09:A7:00
  gpon0/0/4/3: 48:57:54:43:08:09:92:E0
  gpon0/0/4/4: 42:54:50:54:DD:2C:E1:87
  gpon0/0/4/5: 48:57:54:43:E7:53:B7:2A
  gpon0/0/4/6: 42:54:50:54:DD:2B:A3:7B
  gpon0/0/4/7: 48:57:54:43:08:09:92:B0
  gpon0/0/4/8: 41:4C:43:4C:F2:D2:7F:7C
  gpon0/0/4/9: 56:53:4F:4C:C8:80:5E:53
  gpon0/0/4/10: 48:57:54:43:04:1B:F2:30
  gpon0/0/4/11: 42:54:50:54:DD:2B:A4:35
  gpon0/0/4/12: 48:57:54:43:B1:34:EC:1F
  gpon0/0/4/13: 42:54:50:54:DD:2C:C6:BF
  gpon0/0/4/14: 42:54:50:54:DD:22:F6:14
  gpon0/0/4/15: 42:54:50:54:DD:34:2B:E6
  gpon0/0/4/16: 47:50:4F:4E:00:92:DE:D8
  gpon0/0/4/17: 48:57:54:43:08:09:92:30
  gpon0/0/4/18: 42:54:50:54:DD:34:74:EE
  gpon0/0/4/19: 48:57:54:43:02:18:1B:60
  gpon0/0/4/20: 48:57:54:43:03:01:6D:00
  gpon0/0/4/21: 42:44:43:4D:B1:2A:0F:56
  gpon0/0/4/22: 48:57:54:43:76:1F:0E:24
  gpon0/0/4/23: 43:44:54:43:1D:39:F3:11
  gpon0/0/4/24: 56:53:4F:4C:00:9B:45:D1
  gpon0/0/4/25: 48:57:54:43:94:95:52:6E
  gpon0/0/4/26: 42:54:50:54:DD:2C:C7:15
  gpon0/0/4/27: 56:53:4F:4C:00:9B:48:B1
  gpon0/0/4/28: 48:57:54:43:11:23:35:10
  gpon0/0/4/29: 42:54:50:54:DD:34:7B:3A
  gpon0/0/4/30: 48:57:54:43:9E:92:BF:5A
  gpon0/0/4/31: 47:50:4F:4E:00:8A:F7:F4
  gpon0/0/4/32: 48:57:54:43:9E:84:F1:DE
  gpon0/0/4/33: 48:57:54:43:9E:61:DC:40
  gpon0/0/4/34: 42:54:50:54:DD:2B:A3:F3
  gpon0/0/4/35: 47:50:4F:4E:00:8B:70:8C
  gpon0/0/4/36: 48:57:54:43:06:11:10:00
  gpon0/0/4/37: 42:54:50:54:DD:2C:8C:53
  gpon0/0/4/38: 48:57:54:43:11:23:36:40
  gpon0/0/4/39: 48:57:54:43:11:23:33:50
  gpon0/0/4/40: 48:57:54:43:07:22:3E:60
  gpon0/0/4/41: 48:57:54:43:03:01:50:80
  gpon0/0/4/42: 48:57:54:43:B4:C1:A4:66
  gpon0/0/4/43: 48:57:54:43:9E:61:34:52
  gpon0/0/4/44: 42:54:50:54:DD:2C:DC:E7
  gpon0/0/4/45: 42:54:50:54:DD:34:0C:66
  gpon0/0/4/46: 48:57:54:43:08:09:93:10
  gpon0/0/4/47: 45:43:4F:4D:79:04:4F:9B
  gpon0/0/4/48: 56:53:4F:4C:00:E8:7E:08
  gpon0/0/4/49: 41:4C:43:4C:F2:7C:26:BD
  gpon0/0/4/50: 48:57:54:43:09:09:32:70
  gpon0/0/4/51: 41:4C:43:4C:F2:D2:5F:B7
  gpon0/0/4/52: 48:57:54:43:10:26:54:A0
  gpon0/0/4/53: 48:57:54:43:09:04:2B:20
  gpon0/0/4/54: 44:30:31:31:A6:C6:27:F8
  gpon0/0/4/55: 48:57:54:43:07:03:52:00
  gpon0/0/4/56: 42:54:50:54:DD:2C:8A:2D
  gpon0/0/4/57: 48:57:54:43:11:23:34:70
  gpon0/0/4/58: 41:4C:43:4C:F2:01:BC:F7
  gpon0/0/4/59: 41:4C:43:4C:F2:19:47:88
  gpon0/0/4/60: 41:4C:43:4C:F2:29:04:02
  gpon0/0/4/61: 48:57:54:43:10:26:CE:D0
  gpon0/0/4/62: 41:4C:43:4C:F2:2D:76:90
  gpon0/0/4/63: 48:57:54:43:10:26:CC:50
  gpon0/0/4/64: 48:57:54:43:10:26:C9:C0
  gpon0/0/4/65: 44:30:31:31:A6:3A:EC:0B
  gpon0/0/4/66: 48:57:54:43:9E:16:15:48
  gpon0/0/4/67: 48:57:54:43:B4:0F:3A:26
  gpon0/0/4/68: 58:50:4F:4E:9E:50:4E:60
  gpon0/0/4/69: 58:50:4F:4E:9E:50:53:4C
  gpon0/0/4/70: 47:50:4F:4E:00:71:39:72
  gpon0/0/4/71: 41:4C:43:4C:B1:86:4B:3D
  gpon0/0/4/72: 44:30:31:31:A6:9F:FF:DE
  gpon0/0/4/73: 48:57:54:43:9E:61:C4:BE
  gpon0/0/4/74: 58:50:4F:4E:9E:50:4C:E6
  gpon0/0/4/75: 48:57:54:43:9E:84:D8:EE
  gpon0/0/4/76: 42:54:50:54:DD:34:5B:26
  gpon0/0/4/77: 48:57:54:43:04:16:A1:40
  gpon0/0/4/78: 58:50:4F:4E:9E:50:53:5E
  gpon0/0/4/79: 48:57:54:43:FD:11:26:3E
  gpon0/0/4/80: 48:57:54:43:73:E0:7E:37
  gpon0/0/4/81: 48:57:54:43:10:26:D9:90
  gpon0/0/4/82: 48:57:54:43:10:26:CF:70
  gpon0/0/4/83: 48:57:54:43:04:1B:F3:40
  gpon0/0/4/84: 58:50:4F:4E:9E:50:52:D4
  gpon0/0/4/85: 58:50:4F:4E:9E:81:41:50
  gpon0/0/4/86: 42:54:50:54:DD:2B:A3:97
  gpon0/0/4/87: 42:54:50:54:DD:2B:A6:67
  gpon0/0/4/88: 48:57:54:43:00:DE:A6:D3
  gpon0/0/4/89: 4F:45:4D:54:3C:44:93:16
  gpon0/0/4/90: 48:57:54:43:08:04:36:70
  gpon0/0/4/91: 58:50:30:4E:51:E1:93:2C
  gpon0/0/4/92: 42:54:50:54:DD:2C:86:8F
  gpon0/0/4/93: 48:57:54:43:9E:73:EF:EE
  gpon0/0/4/94: 47:50:4F:4E:00:71:07:4A
  gpon0/0/4/95: 48:57:54:43:9E:93:84:AC
  gpon0/0/4/96: 48:57:54:43:12:21:95:80
  gpon0/0/4/97: 48:57:54:43:9E:6E:96:36
  gpon0/0/4/98: 58:50:4F:4E:51:E2:6A:7E
  gpon0/0/4/99: 42:54:50:54:DD:34:5B:22
  gpon0/0/4/100: 44:30:31:31:A6:C5:F4:AE
  gpon0/0/4/101: 58:50:4F:4E:51:E2:69:52
  gpon0/0/4/102: 58:50:4F:4E:51:E2:6C:0A
  gpon0/0/4/103: 48:57:54:43:08:09:94:C0
  gpon0/0/4/104: 48:57:54:43:08:04:39:C0
  gpon0/0/4/105: 48:57:54:43:00:DE:A1:B3
  gpon0/0/4/106: 48:57:54:43:10:26:4A:80
  gpon0/0/4/107: 56:53:4F:4C:00:B5:11:09
  gpon0/0/4/108: 56:53:4F:4C:00:C7:25:A1
  gpon0/0/4/109: 48:57:54:43:10:26:8A:90
  gpon0/0/4/110: 48:57:54:43:F8:D6:A9:7F
  gpon0/0/4/112: 48:57:54:43:5D:C0:6F:9B
  gpon0/0/4/114: 48:57:54:43:10:26:83:B0
  gpon0/0/4/115: 44:30:31:31:A6:9F:B7:48
  gpon0/0/4/117: 48:57:54:43:05:09:01:70
  gpon0/0/4/118: 48:57:54:43:3B:7D:A2:7F
  gpon0/0/4/119: 47:50:4F:4E:00:93:C9:70
  gpon0/0/4/121: 48:57:54:43:9E:61:31:28
  gpon0/0/4/122: 48:57:54:43:9E:61:31:34
  gpon0/0/4/123: 48:57:54:43:9E:61:31:22
  gpon0/0/4/124: 48:57:54:43:9E:61:30:F8
  gpon0/0/4/126: 58:50:4F:4E:9E:50:52:C8
  gpon0/0/4/127: 48:57:54:43:9E:61:CA:6A
  gpon0/0/5/1: 44:42:31:32:E6:DE:28:1D
  gpon0/0/5/2: 42:54:50:54:DD:2B:A4:D9
  gpon0/0/5/3: 48:57:54:43:02:19:07:20
  gpon0/0/5/4: 48:57:54:43:08:09:94:F0
  gpon0/0/5/5: 48:57:54:43:02:18:17:00
  gpon0/0/5/6: 42:54:50:54:DD:2C:C6:9D
  gpon0/0/5/7: 44:42:31:32:E6:DE:26:A7
  gpon0/0/5/8: 42:54:50:54:DD:36:69:C4
  gpon0/0/5/9: 48:57:54:43:11:23:33:70
  gpon0/0/5/10: 41:4C:43:4C:F2:7C:0E:44
